Comarca,Density,Catalan
Alt Camp,84.1988847584,85.5006351773
Alt Empordà,104.2482504604,79.3992212127
Alt Penedès,179.358541526,80.9079127916
Alt Urgell,14.7805653466,86.5023095929
Alta Ribagorça,9.9226804124,83.0116959064
Anoia,137.1070851604,79.0407315411
Bages,143.6720197653,82.7436794403
Baix Camp,278.3474759097,77.3112936723
Baix Ebre,84.1431318959,86.4835249633
Baix Empordà,190.9407566024,79.9407144212
Baix Llobregat,1658.3741007194,65.7918448427
Baix Penedès,342.2605752961,73.0429546367
Barcelonès,15751.5863032844,70.3486785143
Berguedà,34.8431289641,89.9591770526
Cerdanya,34.8590775988,84.793160907
Conca de Barberà,32.5905378333,91.0598215269
Garraf,799.0602933188,75.3077018267
Garrigues,25.2744779292,92.9505736035
Garrotxa,76.0760010896,89.947839526
Gironès,320.0469157255,82.5017886056
Maresme,1099.7404887881,77.0294797688
Montsià,101.7652038945,86.483893321
Noguera,23.1967686093,90.7346637103
Osona,122.3199873398,86.0563481253
Pallars Jussà,10.9403100775,88.9410359246
Pallars Sobirà,5.5025088548,91.6666666667
Pla d'Urgell,141.8614389037,88.3804272915
Pla de l'Estany,103.3267651888,88.6803668478
Priorat,20.094719871,92.4936245704
Ribera d'Ebre,28.9191809039,90.6633444596
Ripollès,27.3996036299,88.2409215929
Segarra,32.3973932335,86.1650620513
Segrià,150.652938222,83.713346987
Selva,174.3023606228,77.7081530811
Solsonès,13.6951732425,90.5274586085
Tarragonès,792.4377168086,74.20273188
Terra Alta,17.1797297297,91.874584165
Urgell,63.0757420676,88.655420409
Val d'Aran,16.2062852538,77.9845785695
Vallès Occidental,1546.7074220768,71.3102010999
Vallès Oriental,472.6282427515,75.5562601892
